0: /who (Function Address: 0x004F491E, Restriction: 0, Category: 1)
1: /consider (Function Address: 0x004F6364, Restriction: 0, Category: 1)
2: /feedback (Function Address: 0x004FB37C, Restriction: 0, Category: 1)
3: /consent (Function Address: 0x004FB39E, Restriction: 0, Category: 1)
4: /played (Function Address: 0x004F4F97, Restriction: 0, Category: 1)
5: /ignore (Function Address: 0x004FC7D6, Restriction: 0, Category: 1)
6: /anonymous (Function Address: 0x004FC5D1, Restriction: 0, Category: 1)
7: /afk (Function Address: 0x004FB489, Restriction: 0, Category: 1)
8: /filter (Function Address: 0x004FBC3A, Restriction: 0, Category: 1)
9: /assist (Function Address: 0x004FD7DC, Restriction: 0, Category: 1)
10: /duel (Function Address: 0x004FCA55, Restriction: 0, Category: 1)
11: /decline (Function Address: 0x004FC966, Restriction: 0, Category: 1)
12: /split (Function Address: 0x004F8EB7, Restriction: 0, Category: 1)
13: /autosplit (Function Address: 0x004FB3CD, Restriction: 0, Category: 1)
14: /quit (Function Address: 0x004FA8C5, Restriction: 0, Category: 1)
15: /stopsong (Function Address: 0x004F5C74, Restriction: 0, Category: 1)
16: /friends (Function Address: 0x004F5A37, Restriction: 0, Category: 1)
17: /shield (Function Address: 0x004FD688, Restriction: 0, Category: 1)
18: /shownames (Function Address: 0x004FF84F, Restriction: 0, Category: 1)
19: /shownpcnames (Function Address: 0x004FF9D9, Restriction: 10, Category: 0)
20: /emote (Function Address: 0x004F64CE, Restriction: 0, Category: 1)
21: : (Function Address: 0x004F64CE, Restriction: 0, Category: 1)
22: /say (Function Address: 0x004F8172, Restriction: 0, Category: 1)
23: ' (Function Address: 0x004F8172, Restriction: 0, Category: 1)
24: /tell (Function Address: 0x004F8367, Restriction: 0, Category: 1)
25: /msg (Function Address: 0x004F8367, Restriction: 0, Category: 1)
26: /send (Function Address: 0x004F8367, Restriction: 0, Category: 1)
27: /ttell (Function Address: 0x004F839A, Restriction: 0, Category: 1)
28: /gsay (Function Address: 0x004F82A8, Restriction: 0, Category: 1)
29: /shout (Function Address: 0x004F82C9, Restriction: 0, Category: 1)
30: /auction (Function Address: 0x004F8325, Restriction: 0, Category: 1)
31: /ooc (Function Address: 0x004F8346, Restriction: 0, Category: 1)
32: /reply (Function Address: 0x004F85C1, Restriction: 0, Category: 1)
33: /channel (Function Address: 0x004F799F, Restriction: 0, Category: 1)
34: /guildsay (Function Address: 0x004F4BD1, Restriction: 0, Category: 3)
35: /guildinvite (Function Address: 0x004F4B68, Restriction: 0, Category: 3)
36: /guildremove (Function Address: 0x004F4B96, Restriction: 0, Category: 3)
37: /guilddelete (Function Address: 0x004F4BA6, Restriction: 0, Category: 3)
38: /guildstatus (Function Address: 0x004F4BB1, Restriction: 0, Category: 3)
39: /guildleader (Function Address: 0x004F4BC1, Restriction: 0, Category: 3)
40: /guildwar (Function Address: 0x004F4ADD, Restriction: 0, Category: 3)
41: /guildpeace (Function Address: 0x004F4B3D, Restriction: 0, Category: 3)
42: /pet (Function Address: 0x004F8754, Restriction: 0, Category: 1)
43: /petition (Function Address: 0x004F8DFC, Restriction: 0, Category: 1)
44: /private (Function Address: 0x004F9062, Restriction: 1, Category: 0)
